Year,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",tech industry supports employees with mental health issues?,Age,Gender,Country,Do you know the options for mental health care available under your employer-provided health coverage?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you *work* in?,What country do you <strong>work</strong> in?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,What country do you work in?
2018,True,Yes,,Yes,Yes,I don't know,Very easy,Yes,True,8.0,9.0,,,,,No,4.0,36.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,Yes,Somewhat easy,Yes,True,3.0,3.0,,,,,No,3.0,33.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Very easy,No,True,5.0,5.0,,,,,Yes,4.0,26.0,M,,United States of America,,,,,,
2018,False,I don't know,,No,No,I don't know,I don't know,No,False,5.0,5.0,,,,,,2.0,24.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Somewhat easy,Yes,True,5.0,5.0,,,,,Yes,4.0,34.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,I don't know,No,False,10.0,5.0,,,,,Yes,3.0,25.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,Yes,I don't know,No,False,8.0,7.0,,,,,No,4.0,19.0,F,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,Somewhat difficult,No,False,4.0,4.0,,,,,No,2.0,28.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Somewhat easy,Yes,True,6.0,4.0,,,,,Yes,4.0,26.0,M,,United States of America,,,,,,
2018,True,No,,No,No,No,Somewhat easy,Maybe,True,2.0,2.0,,,,,,2.0,32.0,M,,South Africa,,,,,,
2018,False,I don't know,,No,No,I don't know,Somewhat difficult,Maybe,False,5.0,2.0,,,,,No,1.0,23.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,True,3.0,5.0,,,,,Yes,4.0,46.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Difficult,Yes,True,3.0,2.0,,,,,No,2.0,28.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat easy,Maybe,False,5.0,0.0,,,,,No,1.0,30.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat difficult,Yes,True,4.0,4.0,,,,,No,1.0,26.0,M,,Brazil,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,Maybe,False,7.0,5.0,,,,,Yes,3.0,37.0,F,,Mauritius,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,True,6.0,9.0,,,,,Yes,3.0,35.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,I don't know,Maybe,False,5.0,5.0,,,,,Yes,2.0,26.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,Maybe,False,5.0,5.0,,,,,Yes,4.0,29.0,F,,United Kingdom,,,,,,
2018,True,Yes,,I don't know,Yes,Yes,I don't know,Yes,False,7.0,6.0,,,,,Yes,3.0,57.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,False,7.0,6.0,,,,,Yes,3.0,38.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,True,7.0,8.0,,,,,No,3.0,20.0,F,,United Kingdom,,,,,,
2018,True,I don't know,,No,No,I don't know,Difficult,No,False,5.0,5.0,,,,,No,1.0,41.0,M,,United States of America,,,,,,
2018,False,Yes,,No,No,No,Somewhat difficult,Maybe,False,0.0,0.0,,,,,No,1.0,43.0,M,,United States of America,,,,,,
2018,True,Yes,,No,Yes,Yes,I don't know,Yes,False,5.0,5.0,,,,,Yes,3.0,35.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Neither easy nor difficult,Yes,True,4.0,7.0,,,,,No,3.0,40.0,F,,United States of America,,,,,,
2018,False,I don't know,,I don't know,I don't know,No,Neither easy nor difficult,Maybe,False,5.0,2.0,,,,,,4.0,28.0,M,,Brazil,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Very easy,Yes,True,9.0,7.0,,,,,Yes,4.0,42.0,M,,United States of America,,,,,,
2018,False,Yes,,No,Yes,Yes,Somewhat easy,Maybe,False,2.0,2.0,,,,,No,3.0,39.0,M,,United States of America,,,,,,
2018,False,Yes,,I don't know,Yes,Yes,Neither easy nor difficult,Yes,True,5.0,3.0,,,,,Yes,2.0,28.0,M,,United States of America,,,,,,
2018,True,No,,No,I don't know,I don't know,Somewhat easy,Yes,False,7.0,7.0,,,,,No,4.0,22.0,M,,India,,,,,,
2018,True,Yes,,No,Yes,I don't know,Somewhat difficult,No,True,6.0,5.0,,,,,Yes,2.0,29.0,F,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Difficult,No,False,7.0,1.0,,,,,No,1.0,27.0,F,,Saudi Arabia,,,,,,
2018,False,I don't know,,No,No,I don't know,Somewhat difficult,No,False,6.0,0.0,,,,,No,1.0,32.0,F,,Germany,,,,,,
2018,False,Yes,,No,I don't know,I don't know,Somewhat easy,Yes,False,8.0,6.0,,,,,Yes,3.0,28.0,M,,United States of America,,,,,,
2018,True,Yes,,No,Yes,Yes,Somewhat easy,Yes,True,5.0,5.0,,,,,No,3.0,31.0,M,,United States of America,,,,,,
2018,False,No,,No,No,No,Difficult,No,False,0.0,0.0,,,,,No,1.0,24.0,F,,Nigeria,,,,,,
2018,False,Yes,,Yes,Yes,Yes,I don't know,No,False,7.0,6.0,,,,,Yes,3.0,27.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,No,False,10.0,10.0,,,,,Yes,4.0,36.0,F,,Ireland,,,,,,
2018,True,No,,No,No,No,Difficult,No,False,0.0,0.0,,,,,Yes,1.0,37.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,Very easy,No,False,10.0,5.0,,,,,Yes,2.0,53.0,F,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Very easy,Maybe,False,6.0,5.0,,,,,,3.0,32.0,M,,France,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat difficult,No,False,3.0,1.0,,,,,No,1.0,25.0,NB,,United States of America,,,,,,
2018,True,No,,No,I don't know,I don't know,Difficult,Maybe,True,7.0,4.0,,,,,,2.0,29.0,F,,United States of America,,,,,,
2018,True,Yes,,No,Yes,Yes,Somewhat difficult,Yes,False,9.0,9.0,,,,,No,3.0,47.0,M,,United States of America,,,,,,
2018,False,Yes,,No,I don't know,I don't know,Somewhat difficult,Maybe,True,7.0,2.0,,,,,No,2.0,61.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,I don't know,Maybe,False,9.0,5.0,,,,,No,4.0,28.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,No,Yes,I don't know,Yes,False,8.0,8.0,,,,,Yes,3.0,31.0,M,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,4.0,4.0,,,,,,2.0,35.0,M,,Uruguay,,,,,,
2018,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Yes,False,8.0,6.0,,,,,No,4.0,40.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,Somewhat easy,Yes,False,5.0,5.0,,,,,No,2.0,41.0,M,,United States of America,,,,,,
2018,True,Yes,,No,Yes,I don't know,Difficult,Maybe,False,5.0,5.0,,,,,Yes,3.0,34.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Neither easy nor difficult,Maybe,False,3.0,3.0,,,,,No,3.0,31.0,F,,United States of America,,,,,,
2018,False,Yes,,No,I don't know,Yes,Very easy,Yes,False,7.0,7.0,,,,,Yes,4.0,35.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Maybe,False,8.0,8.0,,,,,Yes,2.0,27.0,F,,United States of America,,,,,,
2018,True,Yes,,No,Yes,Yes,Somewhat easy,Yes,False,6.0,8.0,,,,,No,3.0,42.0,F,,United States of America,,,,,,
2018,False,Yes,,No,No,Yes,Somewhat easy,No,False,5.0,2.0,,,,,Yes,3.0,56.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,Neither easy nor difficult,Maybe,True,3.0,3.0,,,,,No,3.0,27.0,F,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,Somewhat difficult,Yes,False,6.0,6.0,,,,,No,3.0,37.0,F,,United Kingdom,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,No,True,9.0,8.0,,,,,Yes,3.0,30.0,F,,United Kingdom,,,,,,
2018,True,Yes,,I don't know,I don't know,Yes,Somewhat difficult,Yes,False,7.0,5.0,,,,,No,3.0,39.0,M,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,I don't know,Maybe,False,6.0,6.0,,,,,,3.0,30.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Yes,False,7.0,7.0,,,,,No,4.0,31.0,M,,Netherlands,,,,,,
2018,True,Yes,,No,No,I don't know,I don't know,No,False,8.0,8.0,,,,,Yes,3.0,46.0,M,,United Kingdom,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat difficult,Maybe,False,9.0,5.0,,,,,Yes,3.0,45.0,F,,United States of America,,,,,,
2018,False,No,,No,No,I don't know,I don't know,Maybe,False,2.0,0.0,,,,,,1.0,38.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,I don't know,I don't know,Very easy,Yes,False,8.0,8.0,,,,,Yes,5.0,41.0,M,,United States of America,,,,,,
2018,True,Yes,,I don't know,Yes,Yes,Somewhat easy,Maybe,True,8.0,5.0,,,,,Yes,3.0,37.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,Yes,Very easy,No,False,7.0,7.0,,,,,No,4.0,33.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,Yes,True,8.0,9.0,,,,,Yes,3.0,28.0,NB,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,I don't know,Yes,True,3.0,3.0,,,,,Yes,2.0,29.0,F,,Canada,,,,,,
2018,False,Yes,,No,No,I don't know,Neither easy nor difficult,Yes,False,5.0,5.0,,,,,Yes,3.0,28.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,I don't know,Maybe,False,3.0,5.0,,,,,No,2.0,38.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,No,False,6.0,6.0,,,,,Yes,3.0,42.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,No,I don't know,Somewhat easy,Maybe,False,3.0,4.0,,,,,No,3.0,28.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,I don't know,Yes,True,8.0,8.0,,,,,Yes,2.0,30.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Very easy,Yes,True,9.0,9.0,,,,,Yes,4.0,25.0,F,,United Kingdom,,,,,,
2018,True,Yes,,No,Yes,I don't know,Difficult,No,True,4.0,1.0,,,,,Yes,1.0,44.0,M,,United States of America,,,,,,
2018,False,Yes,,No,No,I don't know,I don't know,Yes,True,5.0,0.0,,,,,No,2.0,28.0,NB,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,Very easy,Maybe,False,7.0,5.0,,,,,No,2.0,41.0,F,,United States of America,,,,,,
2018,False,Yes,,No,Yes,I don't know,Somewhat easy,Maybe,False,6.0,5.0,,,,,No,3.0,38.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,I don't know,Maybe,False,7.0,7.0,,,,,Yes,3.0,37.0,M,,United States of America,,,,,,
2018,False,I don't know,,No,I don't know,I don't know,Somewhat difficult,Yes,False,6.0,5.0,,,,,,2.0,36.0,M,,Japan,,,,,,
2018,False,I don't know,,No,I don't know,I don't know,Neither easy nor difficult,Maybe,False,5.0,5.0,,,,,No,3.0,33.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,Maybe,False,6.0,7.0,,,,,Yes,3.0,35.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Somewhat easy,Maybe,True,10.0,5.0,,,,,Yes,3.0,43.0,M,,United States of America,,,,,,
2018,True,No,,Yes,Yes,Yes,Very easy,Yes,True,8.0,10.0,,,,,,4.0,34.0,M,,United States of America,,,,,,
2018,True,No,,Yes,Yes,Yes,Somewhat easy,Yes,True,8.0,8.0,,,,,,1.0,44.0,F,,United States of America,,,,,,
2018,True,Yes,,No,Yes,Yes,Somewhat easy,Yes,True,5.0,6.0,,,,,Yes,3.0,38.0,M,,United States of America,,,,,,
2018,True,No,,No,No,Yes,Somewhat easy,Maybe,False,6.0,5.0,,,,,,3.0,55.0,M,,United States of America,,,,,,
2018,True,No,,No,I don't know,I don't know,Very easy,No,True,10.0,4.0,,,,,No,1.0,25.0,M,,India,,,,,,
2018,False,Yes,,No,I don't know,I don't know,Difficult,No,False,3.0,0.0,,,,,Yes,2.0,37.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Very easy,Maybe,False,7.0,7.0,,,,,No,3.0,39.0,M,,United States of America,,,,,,
2018,True,Yes,,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,False,7.0,7.0,,,,,Yes,2.0,23.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,Somewhat difficult,Maybe,True,7.0,7.0,,,,,No,3.0,43.0,M,,United States of America,,,,,,
2018,False,I don't know,,No,I don't know,Yes,Neither easy nor difficult,Yes,True,8.0,6.0,,,,,No,3.0,29.0,M,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Somewhat easy,Yes,False,5.0,4.0,,,,,,3.0,25.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,Maybe,True,2.0,5.0,,,,,Yes,3.0,36.0,M ,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,Yes,False,5.0,3.0,,,,,Yes,3.0,33.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,Somewhat easy,Yes,False,5.0,5.0,,,,,No,3.0,34.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Maybe,False,8.0,7.0,,,,,Yes,2.0,28.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,I don't know,Somewhat easy,Yes,False,10.0,10.0,,,,,Yes,2.0,54.0,NB,,United States of America,,,,,,
2018,False,I don't know,,No,No,I don't know,I don't know,Yes,False,6.0,5.0,,,,,No,2.0,39.0,M,,United States of America,,,,,,
2018,False,Yes,,No,Yes,Yes,Somewhat difficult,No,True,6.0,4.0,,,,,Yes,2.0,37.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,I don't know,Somewhat easy,No,False,5.0,5.0,,,,,No,1.0,29.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,Yes,I don't know,Very easy,Yes,False,5.0,5.0,,,,,No,3.0,31.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,I don't know,Yes,Very easy,Yes,True,7.0,7.0,,,,,Yes,2.0,49.0,M,,United States of America,,,,,,
2018,True,Yes,,I don't know,I don't know,Yes,Very easy,Maybe,False,5.0,5.0,,,,,No,2.0,43.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,True,8.0,7.0,,,,,Yes,4.0,38.0,NB,,United States of America,,,,,,
2018,True,Yes,,I don't know,I don't know,I don't know,Somewhat easy,Maybe,False,4.0,3.0,,,,,Yes,4.0,35.0,F,,United States of America,,,,,,
2018,True,Yes,,No,Yes,I don't know,Somewhat easy,Maybe,False,5.0,2.0,,,,,Yes,3.0,23.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,Yes,Very easy,Yes,False,7.0,7.0,,,,,No,3.0,42.0,M,,United Kingdom,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,False,6.0,5.0,,,,,Yes,4.0,36.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,Somewhat easy,Yes,False,6.0,5.0,,,,,No,3.0,38.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,Yes,I don't know,I don't know,Maybe,False,5.0,5.0,,,,,No,1.0,41.0,M,,United Kingdom,,,,,,
2018,True,Yes,,I don't know,I don't know,Yes,Neither easy nor difficult,Yes,True,8.0,6.0,,,,,Yes,2.0,37.0,F,,United States of America,,,,,,
2018,True,I don't know,,Yes,Yes,Yes,Somewhat easy,Yes,False,8.0,10.0,,,,,No,4.0,25.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,True,9.0,7.0,,,,,Yes,3.0,33.0,M,,United States of America,,,,,,
2018,True,I don't know,,Yes,I don't know,I don't know,Somewhat easy,Yes,False,7.0,6.0,,,,,No,3.0,35.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Neither easy nor difficult,No,True,5.0,5.0,,,,,Yes,4.0,32.0,F,,United States of America,,,,,,
2018,True,No,,Yes,No,I don't know,Difficult,No,False,10.0,6.0,,,,,No,3.0,25.0,F ,,Poland,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Neither easy nor difficult,Yes,True,7.0,7.0,,,,,Yes,3.0,40.0,F,,United States of America,,,,,,
2018,True,Yes,,I don't know,I don't know,I don't know,Somewhat easy,Maybe,False,7.0,6.0,,,,,Yes,4.0,34.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Yes,False,4.0,3.0,,,,,Yes,2.0,28.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,Somewhat difficult,No,True,9.0,3.0,,,,,Yes,2.0,49.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,Yes,True,5.0,7.0,,,,,Yes,3.0,33.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,No,False,5.0,7.0,,,,,Yes,4.0,36.0,M,,United States of America,,,,,,
2018,True,No,,No,Yes,No,Difficult,Maybe,True,8.0,2.0,,,,,,2.0,37.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,I don't know,Difficult,Maybe,False,0.0,3.0,,,,,No,2.0,39.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat difficult,No,False,4.0,2.0,,,,,No,2.0,49.0,F,,United States of America,,,,,,
2018,True,I don't know,,Yes,Yes,I don't know,I don't know,Yes,False,7.0,7.0,,,,,No,3.0,33.0,M,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,6.0,5.0,,,,,,2.0,29.0,NB,,United Kingdom,,,,,,
2018,True,I don't know,,Yes,I don't know,I don't know,Very easy,Yes,True,5.0,8.0,,,,,No,4.0,29.0,M,,United Kingdom,,,,,,
2018,True,Yes,,No,No,I don't know,I don't know,Maybe,False,3.0,4.0,,,,,No,3.0,25.0,M,,United States of America,,,,,,
2018,False,I don't know,,No,I don't know,I don't know,Difficult,No,False,2.0,1.0,,,,,No,2.0,35.0,M,,United States of America,,,,,,
2018,True,Yes,,No,Yes,I don't know,I don't know,Yes,False,10.0,10.0,,,,,Yes,4.0,21.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,Yes,False,0.0,0.0,,,,,No,5.0,43.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Somewhat easy,Yes,True,5.0,5.0,,,,,Yes,2.0,31.0,F,,United States of America,,,,,,
2018,True,I don't know,,Yes,Yes,I don't know,I don't know,Maybe,False,6.0,5.0,,,,,No,2.0,27.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Somewhat easy,No,False,0.0,0.0,,,,,Yes,5.0,23.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Very easy,No,True,5.0,3.0,,,,,Yes,3.0,28.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,I don't know,Somewhat difficult,No,False,5.0,3.0,,,,,Yes,2.0,37.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Maybe,False,5.0,5.0,,,,,No,3.0,30.0,M,,United States of America,,,,,,
2018,True,Yes,,No,Yes,I don't know,I don't know,No,False,1.0,3.0,,,,,Yes,1.0,30.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,Somewhat difficult,Maybe,True,6.0,2.0,,,,,No,1.0,30.0,F,,United States of America,,,,,,
2018,False,No,,No,I don't know,I don't know,Difficult,No,False,1.0,0.0,,,,,No,1.0,35.0,M,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,Yes,Very easy,Yes,False,8.0,6.0,,,,,Yes,1.0,45.0,F,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Difficult,No,False,7.0,6.0,,,,,Yes,2.0,31.0,F,,Germany,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Somewhat easy,Maybe,False,6.0,8.0,,,,,Yes,3.0,34.0,F,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Difficult,No,True,0.0,0.0,,,,,No,2.0,30.0,M,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,Somewhat easy,No,True,7.0,2.0,,,,,Yes,2.0,33.0,NB,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat easy,Maybe,False,7.0,7.0,,,,,No,3.0,32.0,M,,United States of America,,,,,,
2018,False,I don't know,,No,Yes,I don't know,I don't know,No,False,9.0,3.0,,,,,No,2.0,28.0,F,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Somewhat easy,No,True,5.0,2.0,,,,,Yes,1.0,28.0,M,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,Yes,Neither easy nor difficult,No,False,7.0,4.0,,,,,Yes,2.0,33.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,No,Yes,Very easy,No,True,7.0,6.0,,,,,Yes,3.0,28.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,I don't know,Maybe,True,5.0,0.0,,,,,No,1.0,28.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,I don't know,No,Somewhat easy,Yes,False,8.0,3.0,,,,,No,2.0,43.0,M,,United States of America,,,,,,
2018,True,I don't know,,I don't know,I don't know,I don't know,Neither easy nor difficult,Yes,False,5.0,5.0,,,,,No,3.0,31.0,F,,United States of America,,,,,,
2018,False,Yes,,I don't know,I don't know,I don't know,Somewhat easy,Yes,False,6.0,6.0,,,,,No,3.0,40.0,F,,United States of America,,,,,,
2018,False,Yes,,No,I don't know,I don't know,Somewhat easy,Maybe,False,7.0,4.0,,,,,No,2.0,42.0,F,,United States of America,,,,,,
2018,True,Yes,,I don't know,I don't know,I don't know,Somewhat difficult,Maybe,False,7.0,6.0,,,,,No,3.0,38.0,M,,United States of America,,,,,,
2018,True,I don't know,,No,No,Yes,Very easy,Yes,True,7.0,8.0,,,,,Yes,3.0,39.0,M,,United States of America,,,,,,
2018,False,No,,No,I don't know,I don't know,Somewhat difficult,Maybe,False,10.0,8.0,,,,,No,1.0,21.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Somewhat easy,Maybe,True,8.0,8.0,,,,,Yes,4.0,32.0,F ,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,I don't know,Maybe,True,2.0,2.0,,,,,Yes,3.0,32.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,Very easy,Yes,True,7.0,6.0,,,,,Yes,2.0,40.0,M ,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,I don't know,No,False,3.0,0.0,,,,,Yes,3.0,28.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Neither easy nor difficult,Yes,True,3.0,6.0,,,,,Yes,2.0,25.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,No,False,5.0,5.0,,,,,Yes,4.0,37.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Very easy,Yes,True,6.0,8.0,,,,,Yes,3.0,40.0,NB,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Neither easy nor difficult,Maybe,False,7.0,3.0,,,,,No,3.0,31.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,Somewhat easy,No,True,6.0,5.0,,,,,No,2.0,26.0,NB,,United States of America,,,,,,
2018,False,Yes,,No,I don't know,I don't know,Somewhat difficult,Yes,False,6.0,5.0,,,,,Yes,3.0,27.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,No,No,Neither easy nor difficult,No,False,5.0,5.0,,,,,Yes,1.0,46.0,M,,Norway,,,,,,
2018,True,Yes,,I don't know,No,I don't know,I don't know,Maybe,False,6.0,5.0,,,,,Yes,2.0,22.0,F ,,United States of America,,,,,,
2018,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,5.0,5.0,,,,,,3.0,37.0,F,,Ireland,,,,,,
2018,True,Yes,,Yes,Yes,I don't know,I don't know,No,True,3.0,3.0,,,,,Yes,1.0,27.0,M,,United States of America,,,,,,
2018,False,Yes,,No,I don't know,I don't know,I don't know,Maybe,False,2.0,5.0,,,,,No,3.0,28.0,F,,United States of America,,,,,,
2018,True,Yes,,Yes,No,Yes,Somewhat easy,No,False,7.0,4.0,,,,,Yes,2.0,32.0,F,,United States of America,,,,,,
2018,True,Yes,,No,I don't know,I don't know,Somewhat easy,Maybe,False,7.0,5.0,,,,,No,2.0,33.0,M,,United States of America,,,,,,
2018,True,Yes,,Yes,Yes,Yes,Somewhat easy,Maybe,True,9.0,7.0,,,,,Yes,4.0,27.0,F,,United States of America,,,,,,
2018,True,Yes,,I don't know,I don't know,Yes,Somewhat easy,Yes,False,8.0,7.0,,,,,Yes,2.0,38.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,Yes,Very easy,Yes,True,6.0,6.0,,,,,No,3.0,28.0,F,,United States of America,,,,,,
2018,False,Yes,,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,False,2.0,1.0,,,,,No,1.0,32.0,F,,United States of America,,,,,,
2018,False,No,,No,No,Yes,Very easy,Yes,False,8.0,3.0,,,,,No,3.0,30.0,F,,United States of America,,,,,,
2018,True,Yes,,No,No,I don't know,I don't know,No,False,8.0,4.0,,,,,Yes,2.0,26.0,F,,United States of America,,,,,,
2018,False,I don't know,,Yes,Yes,I don't know,I don't know,No,False,7.0,7.0,,,,,No,3.0,41.0,F,,United States of America,,,,,,
2018,True,I don't know,,No,No,I don't know,Somewhat easy,Maybe,False,8.0,5.0,,,,,No,2.0,39.0,F,,United States of America,,,,,,
